Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
abacus,False,False,False,False,False,False,False,False,False,True
abandon,False,False,False,True,False,True,False,True,False,False
abandoned,True,False,False,True,False,True,False,True,False,False
abandonment,True,False,False,True,False,True,False,True,True,False
abba,False,False,False,False,False,False,True,False,False,False
abbot,False,False,False,False,False,False,False,False,False,True
abduction,False,False,False,True,False,True,False,True,True,False
aberrant,False,False,False,False,False,True,False,False,False,False
aberration,False,False,True,False,False,True,False,False,False,False
abhor,True,False,True,True,False,True,False,False,False,False
abhorrent,True,False,True,True,False,True,False,False,False,False
ability,False,False,False,False,False,False,True,False,False,False
abject,False,False,True,False,False,True,False,False,False,False
abnormal,False,False,True,False,False,True,False,False,False,False
abolish,True,False,False,False,False,True,False,False,False,False
abolition,False,False,False,False,False,True,False,False,False,False
abominable,False,False,True,True,False,True,False,False,False,False
abomination,True,False,True,True,False,True,False,False,False,False
abort,False,False,False,False,False,True,False,False,False,False
abortion,False,False,True,True,False,True,False,True,False,False
abortive,False,False,False,False,False,True,False,True,False,False
abovementioned,False,False,False,False,False,False,True,False,False,False
abrasion,False,False,False,False,False,True,False,False,False,False
abrogate,False,False,False,False,False,True,False,False,False,False
abrupt,False,False,False,False,False,False,False,False,True,False
abscess,False,False,False,False,False,True,False,True,False,False
absence,False,False,False,True,False,True,False,True,False,False
absent,False,False,False,False,False,True,False,True,False,False
absentee,False,False,False,False,False,True,False,True,False,False
absenteeism,False,False,False,False,False,True,False,False,False,False
absolute,False,False,False,False,False,False,True,False,False,False
absolution,False,False,False,False,True,False,True,False,False,True
absorbed,False,False,False,False,False,False,True,False,False,False
absurd,False,False,False,False,False,True,False,False,False,False
absurdity,False,False,False,False,False,True,False,False,False,False
abundance,False,True,True,False,True,True,True,False,False,True
abundant,False,False,False,False,True,False,True,False,False,False
abuse,True,False,True,True,False,True,False,True,False,False
abysmal,False,False,False,False,False,True,False,True,False,False
abyss,False,False,False,True,False,True,False,True,False,False
academic,False,False,False,False,False,False,True,False,False,True
academy,False,False,False,False,False,False,True,False,False,False
accelerate,False,True,False,False,False,False,False,False,False,False
acceptable,False,False,False,False,False,False,True,False,False,False
acceptance,False,False,False,False,False,False,True,False,False,False
accessible,False,False,False,False,False,False,True,False,False,False
accident,False,False,False,True,False,True,False,True,True,False
accidental,False,False,False,True,False,True,False,False,True,False
accidentally,False,False,False,False,False,False,False,False,True,False
accolade,False,True,False,False,True,False,True,False,True,True
accommodation,False,False,False,False,False,False,True,False,False,False
accompaniment,False,True,False,False,True,False,True,False,False,True
accomplish,False,False,False,False,True,False,True,False,False,False
accomplished,False,False,False,False,True,False,True,False,False,False
accomplishment,False,False,False,False,False,False,True,False,False,False
accord,False,False,False,False,False,False,True,False,False,True
account,False,False,False,False,False,False,False,False,False,True
accountability,False,False,False,False,False,False,True,False,False,True
accountable,False,False,False,False,False,False,True,False,False,True
accountant,False,False,False,False,False,False,False,False,False,True
accounts,False,False,False,False,False,False,False,False,False,True
accredited,False,False,False,False,False,False,True,False,False,True
accueil,False,False,False,False,False,False,True,False,False,False
accurate,False,False,False,False,False,False,True,False,False,True
accursed,True,False,False,True,False,True,False,True,False,False
accusation,True,False,True,False,False,True,False,False,False,False
accusative,False,False,False,False,False,True,False,False,False,False
accused,True,False,False,True,False,True,False,False,False,False
accuser,True,False,False,True,False,True,False,False,False,False
accusing,True,False,False,True,False,True,False,False,False,False
ace,False,False,False,False,False,False,True,False,False,False
ache,False,False,False,False,False,True,False,True,False,False
achieve,False,False,False,False,True,False,True,False,False,True
achievement,False,True,False,False,True,False,True,False,False,True
aching,False,False,False,False,False,True,False,True,False,False
acid,False,False,False,False,False,True,False,False,False,False
acknowledgment,False,False,False,False,False,False,True,False,False,False
acquire,False,False,False,False,False,False,True,False,False,False
acquiring,False,True,False,False,False,False,True,False,False,False
acrobat,False,False,False,True,True,False,True,False,False,True
action,False,False,False,False,False,False,True,False,False,False
actionable,True,False,True,False,False,True,False,False,False,False
actual,False,False,False,False,False,False,True,False,False,False
acuity,False,False,False,False,False,False,True,False,False,False
acumen,False,False,False,False,False,False,True,False,False,False
adapt,False,False,False,False,False,False,True,False,False,False
adaptable,False,False,False,False,False,False,True,False,False,False
adder,True,False,True,True,False,True,False,True,False,False
addiction,False,False,False,False,False,True,False,False,False,False
