channel_id,channel_title,category,region
UChpleBmo18P08aKCIgti38g,Matt Wolfe,AI influencer,Global
UCuFFtHWoLl5fauMMD5Ww2jA,CBC,News,Canada
UCkiP0kvvwqUWlttRLCq88gw,Global news,News,Canada
UCWE58e_BbmBgE8h-oskutQA,The Toronto Star,News,Canada
UCsZYUb8C_19bWOCKF9jRwSg,The Globe and Mail,News,Canada
UCiHsUs8A6BCXG_SZW22TT-w,National Post,News,Canada
UCVyik4cnxEmbefInU7JnWyw,Calgary Herald,News,Canada
UCYYSLCzDmmED5hnYcFmKimA,Ottawa Citizen,News,Canada
UCZ1-u3qX7AUUPzH9O_Peb-Q,Vancouver Sun,News,Canada
UCOXbUmGfpr_rb_UeqROTwkg,Windsor Star,News,Canada
UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,News,Global
UCaXkIU1QidjPwiAYu6GcHjg,NBC News,News,USA
UCupvZG-5ko_eiXAupbDfxWw,CNN,News,USA
UCP6HGa63sBC7-KHtkme-p-g,USA Today,News,USA
UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,News,USA
UCYBARVyitZWkFKovnC2jf2g,The Washington Post,News,USA
